ticker,name,primary_exchange,date,close,stage,weeks_in_stage,price_vs_ma_pct,ma_slope_pct,ma_30,sma_20,sma_50,sma_200,volume,volume_ma_20,volume_ratio,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct
AEVA,"Aeva Technologies, Inc.",XNAS,2025-10-20,17.110000610351562,1,2,-1.0982622770429555,10.376214828313971,17.29999998410543,19.90149998664856,12.094399976730347,9.66309001326561,2974379,12870060,0.23110840198103194,-14.03,41.47,77.07
HIG,"The Hartford Insurance Group, Inc.",XNYS,2025-10-20,125.0999984741211,1,1,-1.1088056820071697,0.9007764748711696,126.50266723632812,127.82550086975098,121.84840042114257,91.05754981994629,3323201,7029772,0.47273240156295254,-2.13,2.67,37.39
APPF,"AppFolio, Inc. Class A",XNAS,2025-10-20,240.30999755859375,1,2,-1.1295783144749287,1.0567650599572023,243.0554997762044,257.84524993896486,240.2958999633789,181.0602006149292,438965,1414276,0.31038142484211,-6.8,0.01,32.72
KNSL,"Kinsale Capital Group, Inc.",XNYS,2025-10-20,453.69000244140625,1,1,-1.1781762949318788,-0.12001881400048194,459.0989980061849,457.38450012207034,460.44239929199216,367.6359999084473,474115,1040212,0.4557868972863224,-0.81,-1.47,23.41
WRBY,Warby Parker Inc.,XNYS,2025-10-20,21.729999542236328,1,1,-1.1943394050723466,1.97527029046319,21.99266662597656,24.324499988555907,22.679200019836426,17.65579999923706,3025639,8131595,0.37208432048079126,-10.67,-4.19,23.08
SKYW,Skywest Inc,XNAS,2025-10-20,101.5999984741211,1,3,-1.2204857909653684,1.4015723290497708,102.85533320109049,107.35850028991699,103.59740036010743,58.04510006904602,335495,1608378,0.20859213443605917,-5.36,-1.93,75.04
SAM,Boston Beer Company,XNYS,2025-10-20,219.00999450683594,1,9,-1.2331038367328884,-0.7466019309612263,221.74433237711588,212.96899871826173,240.16799896240235,314.09740074157713,300134,1172657,0.2559435538269076,2.84,-8.81,-30.27
CME,CME Group Inc.,XNAS,2025-10-20,268.6099853515625,1,8,-1.2359809001208601,0.41653847957459683,271.971501159668,271.2957504272461,259.94890075683594,217.1595253753662,3336678,9969943,0.3346737288267345,-0.99,3.33,23.69
NJR,New Jersey Resources Corp,XNYS,2025-10-20,46.09000015258789,1,2,-1.2378307430359343,-0.6655265131541276,46.667666880289715,46.28600006103515,47.13000015258789,45.642200050354006,894506,2838471,0.31513656472093604,-0.42,-2.21,0.98
ED,"Consolidated Edison, Inc.",XNYS,2025-10-20,101.55999755859375,1,17,-1.2798521289209526,-0.7291805882271757,102.87666676839193,100.61950073242187,100.43139999389649,95.02169990539551,2246286,10997853,0.2042476836160658,0.93,1.12,6.88
CP,Canadian Pacific Kansas City Limited,XNYS,2025-10-20,75.62999725341797,1,12,-1.307550650495527,0.45004480676700115,76.63199946085612,76.7334991455078,76.1579997253418,77.41154975891114,4338285,13534729,0.3205298754042286,-1.44,-0.69,-2.3
MGNI,"Magnite, Inc. Common Stock",XNAS,2025-10-20,18.950000762939453,1,2,-1.343186816014665,4.353494722060338,19.208000087738036,22.095000076293946,18.016400108337404,12.53645001411438,3735068,14053908,0.2657672157808348,-14.23,5.18,51.16
SOBO,South Bow Corporation,XNYS,2025-10-20,26.06999969482422,1,1,-1.3459151441847375,0.7779824452011588,26.425666745503744,27.07100009918213,25.827000045776366,,2060498,3921525,0.5254328354402943,-3.7,0.94,
OTTR,Otter Tail Corp,XNAS,2025-10-20,78.20999908447266,1,3,-1.362504322206869,-0.6635766716170327,79.29033330281575,79.90450019836426,78.92980010986328,75.8226999092102,212241,946832,0.22415909052503508,-2.12,-0.91,3.15
CNNE,"Cannae Holdings, Inc. Common Stock",XNYS,2025-10-20,18.739999771118164,1,3,-1.447954009967352,0.397746981493199,19.015333048502605,19.532499694824217,19.22679988861084,20.58889992713928,908391,3439288,0.26412181823679787,-4.06,-2.53,-8.98
DAC,Danaos Corporation,XNYS,2025-10-20,85.94000244140625,1,2,-1.4916450982347051,0.9589649653462281,87.2413335164388,90.41150016784668,84.52640029907226,75.21774993896484,98851,362394,0.27277217613978155,-4.95,1.67,14.25
PRK,Park National Corporation,XASE,2025-10-20,159.72999572753906,1,3,-1.5721698448732304,0.21490330194760296,162.28133392333984,165.5194999694824,166.16059997558594,138.8973000717163,81465,290864,0.2800793497992189,-3.5,-3.87,15.0
AXON,"Axon Enterprise, Inc. Common Stock",XNAS,2025-10-20,707.0399780273438,1,2,-1.606815166023682,2.954542891410811,718.5863321940104,750.4829986572265,672.5099987792969,330.06594997406006,952478,2875664,0.33122019818727083,-5.79,5.13,114.21
VYX,NCR Voyix Corporation,XNYS,2025-10-20,11.479999542236328,1,2,-1.6365392235870284,1.7819762081713781,11.671000035603841,12.665000057220459,12.063200035095214,,2409665,7282827,0.3308694549520399,-9.36,-4.83,
GSBC,Great Southern Bancorp Inc,XNAS,2025-10-20,57.290000915527344,1,1,-1.6399057910992747,0.39817884269135395,58.24516677856445,59.81300010681152,58.96870002746582,56.83177501678467,96764,257770,0.37538891259650076,-4.22,-2.85,0.81
SRCE,1st Source Corp,XNAS,2025-10-20,59.650001525878906,1,3,-1.6631242838186289,-0.4948557097375361,60.65883331298828,61.61725006103516,61.15569999694824,52.60780012130737,144524,413660,0.3493787168205773,-3.19,-2.46,13.39
RIVN,"Rivian Automotive, Inc. Class A Common Stock",XNAS,2025-10-20,13.199999809265137,1,2,-1.6759790743751508,1.7045452096136164,13.425,13.389499950408936,13.145200004577637,21.283699979782103,63586528,181718001,0.34991870728316016,-1.42,0.42,-37.98
UBSI,United Bankshares Inc,XNAS,2025-10-20,35.45000076293945,1,2,-1.744301681393258,0.4622231201942358,36.07933317820231,36.739999771118164,36.8603999710083,35.706274909973146,1447764,3528078,0.41035487310654695,-3.51,-3.83,-0.72
RAMP,"LiveRamp Holdings, Inc. Common Stock",XNYS,2025-10-20,28.489999771118164,1,2,-1.748457078150175,0.40976006914290214,28.99699986775716,29.3899995803833,29.589999961853028,29.230599994659425,935917,2686078,0.34843254737948787,-3.06,-3.72,-2.53
WAFD,"WaFd, Inc. Common Stock",XNAS,2025-10-20,28.81999969482422,1,2,-1.773441154094986,0.27911966516452,29.340333239237467,30.014999866485596,30.232799911499022,30.98664994239807,990440,2296961,0.4311958278786623,-3.98,-4.67,-6.99
CIVB,"Civista Bancshares, Inc.",XNAS,2025-10-20,20.780000686645508,1,11,-1.7989321341459923,0.5368765148583227,21.160666720072427,21.063500118255615,21.12599998474121,19.478674936294556,242781,476808,0.5091797956410128,-1.35,-1.64,6.68
FAST,Fastenal Co,XNAS,2025-10-20,43.31999969482422,1,1,-1.799141346790618,2.0330903338297404,44.11366691589355,45.94000015258789,41.76105018615723,32.51147495269775,8394240,29956429,0.2802149748890297,-5.7,3.73,33.25
BHB,Bar Harbor Bankshares,XASE,2025-10-20,29.510000228881836,1,2,-1.8013616595570572,-0.3636043126260582,30.0513334274292,30.49350004196167,30.88300022125244,28.496700077056886,75043,233537,0.32133237987984775,-3.23,-4.45,3.56
BSX,Boston Scientific Corp.,XNYS,2025-10-20,99.9000015258789,1,1,-1.806599750480245,-0.1462404827508505,101.73799997965494,102.30349998474121,99.6818002319336,66.09030010223388,18265591,39066177,0.4675551180756694,-2.35,0.22,51.16
HIW,Highwoods Properties Inc.,XNYS,2025-10-20,29.579999923706055,1,1,-1.8265093058497786,0.7478821994016316,30.13033326466878,30.75349998474121,30.08479995727539,29.319750003814697,2002698,4769485,0.4198981651058762,-3.82,-1.68,0.89
RGA,"Reinsurance Group of America, Incorporated",XNYS,2025-10-20,189.3800048828125,1,7,-1.837499088862258,-0.05594855093146709,192.925,192.19049987792968,200.2183999633789,165.14465030670166,505071,2006022,0.25177739825385764,-1.46,-5.41,14.68
BKV,BKV Corporation,XNYS,2025-10-20,20.8700008392334,1,2,-1.9036394148182187,0.9202601998342728,21.275000127156577,22.082000064849854,21.72820011138916,,807559,1831479,0.44093271066717116,-5.49,-3.95,
NTB,The Bank of N.T. Butterfield & Son Limited,XNYS,2025-10-20,41.91999816894531,1,3,-2.0301365661387507,1.2110699886296497,42.788666534423825,44.118499755859375,40.71779991149902,34.37484994888305,277801,828178,0.33543634339477746,-4.98,2.95,21.95
RNST,Renasant Corporation,XNYS,2025-10-20,34.779998779296875,1,2,-2.030932909705887,0.23717391981074332,35.501000277201335,36.960500144958495,35.844800300598145,32.99550015449524,735545,2582479,0.28482128993110883,-5.9,-2.97,5.41
CNXN,PC Connection Inc,XNAS,2025-10-20,62.47999954223633,1,6,-2.038768996007584,-0.2023688261559165,63.78033320109049,63.415999794006346,65.51539978027344,57.24749994277954,131649,389657,0.3378586808398155,-1.48,-4.63,9.14
CVBF,CVB Financial Corp,XNAS,2025-10-20,18.729999542236328,1,3,-2.113985288453764,-0.18778884646041938,19.134500058492026,19.49425001144409,19.852900123596193,20.22772502422333,1189938,3524878,0.3375827475447377,-3.92,-5.66,-7.4
MBAV,M3-Brigade Acquisition V Corp. Class A Ordinary shares,XNAS,2025-10-20,10.59000015258789,1,13,-2.1466730995040986,0.47037052254222833,10.822319984436035,10.91549997329712,10.53565996170044,,84215,1431297,0.058838242517101624,-2.98,0.52,
